success-minimum-chars,The minimum number of characters needed for successful content,Int,,
success-maximum-chars,The maximum number of characters needed for successful content,Int,,
danger-minimum-chars,Warning when under the minimum number of characters,Int,,
danger-maximum-chars,Warning when over the maximum number of characters,Int,,
success-minimum-words,The minimum number of words needed for successful content,Int,,
success-maximum-words,The maximum number of words needed for successful content,Int,,
danger-minimum-words,Warning when under the minimum number of words,Int,, 
danger-maximum-words,Warning when over the maximum number of words,Int,,
placeholder,Short hint describing the expected content,String,medium! attribute,Some placeholder;プレースホルダ
label,Label related to the field,String,medium!,Some label;ラベル;ضع الكلمة المناسبة
help,Some help tip related to the field,String,medium!,Lorem ipsum dolor sit amet consectetur adipiscing elit.;助けて
danger-help,Help message to highlight an issue with the content,String,medium! state,do not do this
content,The content of the field,String,state very-large attribute,some content 
user-language,Language used by the user,String,small! attribute,en-GB;ja;ar
content-language,Language of the content,String,small! user attribute,en-GB;ja;ar
user-right-to-left,Whether the user is using right to left,Bool,attribute,
content-right-to-left,Whether the content requires right to left,Bool,user attribute,
tag,Tag used to describe the field,List String,small!,it;learning;elm
success-tag,Tag representing a successful facet of the content,List String,small! state,spelling;concise;italian
warning-tag,Tag representing a warning aspect of the content,List String,small! state,grammar;synonyms
danger-tag,Tag representing a dangerous aspect of the content,List String,small! state,sensitive;save



